region;crop;categorie;doseN
Europe;A.donax;perennial;50
Europe;A.donax;perennial;50
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;50
Europe;A.donax;perennial;50
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;50
Europe;A.donax;perennial;50
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;0
Europe;A.donax;perennial;0
Europe;A.donax;perennial;0
Europe;A.donax;perennial;0
Europe;A.donax;perennial;0
Europe;A.donax;perennial;0
Europe;A.donax;perennial;0
Europe;A.donax;perennial;0
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Europe;A.donax;perennial;78
Europe;A.donax;perennial;0
Europe;A.donax;perennial;100
Europe;A.donax;perennial;100
Americas;A.donax;perennial;280
Americas;A.donax;perennial;280
Americas;A.donax;perennial;280
Americas;A.donax;perennial;280
Americas;A.donax;perennial;280
Americas;A.donax;perennial;280
Americas;A.donax;perennial;0
Americas;A.donax;perennial;0
Europe;C.sativa;annual;0
Europe;C.sativa;annual;75
Europe;C.sativa;annual;75
Europe;C.sativa;annual;120
Europe;C.sativa;annual;150
Europe;C.sativa;annual;75
Europe;C.sativa;annual;75
Europe;C.sativa;annual;0
Europe;C.cardunculus;perennial;50
Europe;C.cardunculus;perennial;50
Europe;C.cardunculus;perennial;100
Europe;C.cardunculus;perennial;100
Europe;C.cardunculus;perennial;50
Europe;C.cardunculus;perennial;50
Europe;C.cardunculus;perennial;100
Europe;C.cardunculus;perennial;100
Europe;C.cardunculus;perennial;50
Europe;C.cardunculus;perennial;50
Europe;C.cardunculus;perennial;100
Europe;C.cardunculus;perennial;100
Europe;C.cardunculus;perennial;0
Europe;C.cardunculus;perennial;0
Europe;C.cardunculus;perennial;0
Europe;C.cardunculus;perennial;0
Europe;C.cardunculus;perennial;0
Europe;C.cardunculus;perennial;0
Europe;C.cardunculus;perennial;0
Europe;C.cardunculus;perennial;0
Americas;C.dactylon;perennial;34
Americas;C.dactylon;perennial;67
Americas;C.dactylon;perennial;134
Americas;C.dactylon;perennial;269
Americas;C.dactylon;perennial;34
Americas;C.dactylon;perennial;67
Americas;C.dactylon;perennial;134
Americas;C.dactylon;perennial;269
Europe;D.glomerata;perennial;0
Europe;D.glomerata;perennial;75
Europe;D.glomerata;perennial;75
Europe;D.glomerata;perennial;120
Europe;D.glomerata;perennial;150
Europe;D.glomerata;perennial;75
Europe;D.glomerata;perennial;75
Europe;D.glomerata;perennial;0
Americas;E.curvula ;perennial;34
Americas;E.curvula ;perennial;67
Americas;E.curvula ;perennial;134
Americas;E.curvula ;perennial;269
Americas;E.curvula ;perennial;34
Americas;E.curvula ;perennial;67
Americas;E.curvula ;perennial;134
Americas;E.curvula ;perennial;269
Asia;Erianthus;perennial;72
Asia;Erianthus;perennial;72
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;0
Europe;F.arundinacea;pluri-annual;45
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;90
Europe;F.arundinacea;pluri-annual;90
