crop;yield;region;categorie
A.donax;4.5;Europe;perennial
A.donax;8;Europe;perennial
A.donax;4.1;Europe;perennial
A.donax;7.8;Europe;perennial
A.donax;22.2;Europe;perennial
A.donax;32.5;Europe;perennial
A.donax;28.5;Europe;perennial
A.donax;41.3;Europe;perennial
A.donax;31.3;Europe;perennial
A.donax;40.5;Europe;perennial
A.donax;40.2;Europe;perennial
A.donax;43;Europe;perennial
A.donax;34.7;Europe;perennial
A.donax;35.2;Europe;perennial
A.donax;34.2;Europe;perennial
A.donax;35.6;Europe;perennial
A.donax;24.1;Europe;perennial
A.donax;24.9;Europe;perennial
A.donax;30.8;Europe;perennial
A.donax;28;Europe;perennial
A.donax;28.79;Europe;perennial
A.donax;51.68;Europe;perennial
A.donax;49.26;Europe;perennial
A.donax;41.82;Europe;perennial
A.donax;42.02;Europe;perennial
A.donax;45.27;Europe;perennial
A.donax;43.94;Europe;perennial
A.donax;39.34;Europe;perennial
A.donax;23.4;Europe;perennial
A.donax;22.07;Europe;perennial
A.donax;29.03;Europe;perennial
A.donax;26.17;Europe;perennial
A.donax;45.4;Europe;perennial
A.donax;46.5;Europe;perennial
A.donax;32.1;Europe;perennial
A.donax;32.7;Europe;perennial
A.donax;13.4;Americas;perennial
A.donax;29.1;Americas;perennial
A.donax;13.35;Americas;perennial
A.donax;28.84;Americas;perennial
A.donax;34.79;Americas;perennial
A.donax;38.63;Americas;perennial
A.donax;35.88;Americas;perennial
A.donax;30.88;Americas;perennial
C.sativa;6.64;Europe;annual
C.sativa;9.62;Europe;annual
C.sativa;10.85;Europe;annual
C.sativa;11.84;Europe;annual
C.sativa;9.8;Europe;annual
C.sativa;9.1;Europe;annual
C.sativa;9;Europe;annual
C.sativa;7.5;Europe;annual
C.cardunculus;23.5;Europe;perennial
C.cardunculus;26.1;Europe;perennial
C.cardunculus;22.6;Europe;perennial
C.cardunculus;26.4;Europe;perennial
C.cardunculus;14.6;Europe;perennial
C.cardunculus;22.5;Europe;perennial
C.cardunculus;14.3;Europe;perennial
C.cardunculus;21.1;Europe;perennial
C.cardunculus;7.1;Europe;perennial
C.cardunculus;9.2;Europe;perennial
C.cardunculus;7.7;Europe;perennial
C.cardunculus;7.9;Europe;perennial
C.cardunculus;0.4;Europe;perennial
C.cardunculus;0.4;Europe;perennial
C.cardunculus;0.7;Europe;perennial
C.cardunculus;0.7;Europe;perennial
C.dactylon;4.95;Americas;perennial
C.dactylon;6.68;Americas;perennial
C.dactylon;8.09;Americas;perennial
C.dactylon;10.51;Americas;perennial
C.dactylon;7.32;Americas;perennial
C.dactylon;9.07;Americas;perennial
C.dactylon;11.96;Americas;perennial
C.dactylon;14.54;Americas;perennial
D.glomerata;7.35;Europe;perennial
D.glomerata;9.89;Europe;perennial
D.glomerata;10.89;Europe;perennial
D.glomerata;12.52;Europe;perennial
D.glomerata;8;Europe;perennial
D.glomerata;7.2;Europe;perennial
D.glomerata;7.3;Europe;perennial
D.glomerata;5.4;Europe;perennial
E.curvula;5.98;Americas;perennial
E.curvula;7.97;Americas;perennial
E.curvula;8.22;Americas;perennial
E.curvula;9.16;Americas;perennial
